sex,age,studytime,weekday alc,weekend alc,absences,Final Grade
M,18,1,2,5,0,0
M,16,1,3,5,6,14
F,15,3,2,3,8,10
M,19,1,1,1,0,0
F,17,1,1,1,0,12
M,15,2,1,1,2,8
M,17,1,3,3,8,13
F,18,1,1,5,6,10
M,16,1,1,2,2,15
M,16,2,4,4,4,12
M,17,1,2,2,0,0
M,15,2,1,4,6,7
M,16,1,2,4,0,0
M,17,1,1,4,2,10
M,17,2,1,5,0,7
M,16,1,1,1,16,12
M,16,2,2,4,4,10
F,16,2,1,1,0,16
F,16,2,1,1,0,0
F,16,2,1,1,0,14
M,16,1,2,4,0,0
M,16,2,1,1,2,16
M,17,2,1,3,0,10
F,16,2,1,1,0,0
F,16,2,1,1,4,9
M,17,2,4,4,4,9
F,16,2,1,4,2,11
M,17,2,1,4,4,6
M,16,1,3,4,10,9
M,17,2,1,1,4,11
M,16,2,2,3,10,8
M,16,2,1,2,2,12
F,17,2,2,3,0,17
F,17,2,2,3,56,8
F,16,2,1,2,14,12
M,17,2,2,3,12,11
M,16,1,1,2,2,11
M,16,2,1,2,0,15
F,17,2,1,3,6,9
M,17,2,1,5,4,10
F,16,2,1,1,10,13
F,17,2,1,1,0,9
M,17,2,4,5,12,8
M,16,1,3,4,8,10
M,16,1,1,1,0,14
F,17,2,1,1,0,15
M,17,1,1,2,4,16
M,16,1,3,5,8,10
F,17,1,2,3,24,18
F,16,2,1,2,0,10
F,16,2,1,5,2,16
F,16,2,1,3,6,10
F,17,2,1,3,4,10
F,17,1,1,2,18,6
F,16,4,1,1,6,11
F,17,3,3,4,28,9
F,16,2,2,2,5,7
F,16,2,1,1,10,13
F,16,1,1,4,6,10
F,17,3,1,1,6,7
F,19,4,1,2,10,8
M,17,2,4,5,13,13
F,16,2,1,1,0,14
M,18,2,2,4,15,8
F,17,1,1,2,12,10
F,17,2,1,3,2,15
F,17,2,2,4,22,4
M,18,2,2,4,13,8
F,17,1,1,4,3,8
F,17,3,1,1,4,10
F,17,2,1,2,2,6
F,17,3,1,1,0,0
F,16,2,1,1,2,17
M,18,2,5,5,0,13
F,16,3,1,1,0,14
F,18,2,1,1,16,7
F,17,2,1,3,10,15
M,17,2,1,3,2,12
M,18,2,4,5,14,9
F,17,3,1,2,10,12
F,17,2,1,2,14,14
M,17,2,1,1,4,11
M,17,2,1,3,14,9
M,16,2,2,4,2,13
M,16,2,1,1,18,6
M,16,3,1,3,10,10
M,17,2,5,5,4,13
F,16,1,1,1,20,12
F,17,2,1,1,2,11
M,18,2,3,5,0,0
M,17,2,1,4,14,12
M,17,2,2,3,2,12
M,16,1,1,1,0,0
M,16,1,1,2,0,12
F,18,3,1,1,0,0
M,16,1,1,1,6,18
M,17,1,1,1,4,13
M,22,1,5,5,16,8
M,18,2,1,3,8,5
M,16,1,2,4,0,15
M,18,1,2,4,0,8
M,16,2,1,3,6,10
M,18,1,2,5,4,8
M,16,1,1,3,0,8
M,17,1,2,4,0,12
M,17,1,1,2,2,8
F,17,4,1,1,6,13
M,19,2,1,1,12,11
M,18,2,1,2,8,14
F,17,4,1,1,0,0
F,18,2,1,3,21,18
M,18,2,1,1,2,8
M,18,3,1,1,1,12
F,17,3,1,1,4,9
F,18,3,1,1,0,0
M,18,2,3,4,13,17
M,17,2,3,4,2,10
F,18,2,2,2,8,11
M,18,2,1,3,10,10
F,18,2,1,2,0,0
F,19,2,3,3,15,9
F,18,4,1,3,4,14
F,18,2,1,1,2,11
M,17,2,2,2,2,14
F,17,2,1,1,2,10
F,17,2,2,3,6,12
F,18,2,1,1,75,9
M,18,1,1,4,22,9
F,18,2,1,1,15,8
M,18,1,1,2,8,10
M,17,1,2,4,30,8
M,17,1,3,4,19,10
F,18,4,1,1,1,12
F,18,2,1,1,4,10
F,17,2,1,2,4,11
M,17,2,1,2,2,11
F,18,3,1,2,5,19
F,17,3,1,1,6,12
M,18,3,1,3,6,14
M,18,2,1,1,9,15
M,18,2,1,4,11,11
F,17,3,1,2,0,15
F,18,2,1,1,12,13
F,17,4,1,1,6,18
M,18,3,1,1,8,14
M,17,1,1,3,4,11
F,19,2,2,3,0,0
F,18,2,1,2,10,8
F,18,4,1,1,0,14
M,18,1,2,2,5,16
F,18,2,1,1,14,11
M,17,1,2,2,0,10
F,17,3,1,1,0,14
F,17,4,1,2,0,18
M,19,2,1,1,20,13
F,18,2,1,1,8,12
M,20,1,1,1,0,18
M,19,1,1,1,38,8
M,19,2,1,2,0,12
F,19,2,1,3,18,10
F,19,2,2,2,0,0
F,19,2,1,1,20,13
M,19,2,2,2,3,11
F,19,2,1,2,22,11
F,19,3,1,1,14,13
F,19,3,1,1,40,11
F,18,2,1,2,0,0
F,18,3,1,1,9,9
F,17,3,2,5,0,10
F,18,2,3,3,2,11
F,17,2,1,2,23,13
F,17,2,1,1,12,9
F,17,3,2,2,3,11
F,17,3,2,3,1,15
F,17,3,2,3,0,15
M,18,3,2,2,3,11
M,17,1,3,5,3,16
M,17,1,5,5,8,10
F,17,3,1,3,7,9
F,17,3,1,2,4,14
M,18,4,2,4,2,8
F,17,3,1,1,7,14
F,18,2,1,1,0,0
F,18,2,1,1,0,0
F,18,4,1,1,0,0
F,17,3,1,3,16,15
F,19,3,1,2,12,13
F,17,2,2,3,0,0
F,18,4,1,1,7,17
F,17,2,2,3,4,10
F,19,3,1,3,4,11
M,18,2,2,2,0,0
M,18,2,1,3,11,15
F,17,2,1,2,0,0
F,18,3,1,2,4,10
F,18,3,2,3,7,14
M,18,3,1,2,9,16
M,18,3,2,3,0,9
F,17,3,1,3,0,15
M,18,1,5,5,10,13
M,19,2,3,3,8,8
M,17,2,2,3,2,13
M,18,1,2,3,7,8
M,19,1,3,3,4,8
M,17,2,1,3,4,11
F,18,2,1,1,0,9
F,17,2,1,2,4,13
F,17,2,1,2,2,11
M,18,1,1,2,4,10
F,18,3,1,1,0,16
F,18,2,1,4,0,13
M,18,2,2,3,2,12
F,18,2,1,3,0,10
F,17,2,1,1,0,15
F,17,2,1,2,0,12
M,18,2,2,4,4,10
M,18,3,2,2,0,13
F,17,1,1,2,0,0
F,18,1,1,2,0,10
F,18,2,4,2,10,11
F,19,2,1,1,4,9
M,18,1,2,3,3,12
F,17,3,1,1,8,11
F,17,1,1,3,14,5
F,18,3,1,1,0,19
F,18,3,1,2,2,10
F,20,3,1,1,4,15
F,18,2,3,4,4,10
F,18,2,1,2,0,15
F,17,2,2,3,17,10
M,18,2,1,4,4,14
M,18,1,1,3,5,7
M,17,2,1,1,2,10
M,19,1,1,3,0,0
M,18,1,4,3,14,5
F,18,3,1,3,2,10
F,18,1,2,2,7,6
F,19,3,1,2,0,0
F,18,2,1,1,0,8
F,18,2,1,1,0,0
M,20,2,4,5,11,9
M,17,1,3,4,3,16
M,21,1,3,3,3,7
M,18,1,3,4,0,10
M,19,1,3,3,5,9
